id,mszoning,lotfrontage,lotarea,street,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,garagetype,garageyrblt,garagefinish,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,screenporch,saletype,saleprice,garagesize,houseage
109,RL,68.88300349243306,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4.0,CBlock,3.0,3.0,No,GLQ,533.0,Unf,192.0,725.0,GasA,5.0,Y,SBrkr,725,754,1479,0.0,2,1,3,1,4.0,6,Typ,0,Attchd,1976.0,RFn,3.0,3.0,Y,0,44,0,0,WD ,130500,950.0,44
544,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4.0,PConc,4.0,3.0,No,GLQ,637.0,Unf,276.0,913.0,GasA,5.0,Y,SBrkr,913,1209,2122,1.0,2,1,4,1,4.0,8,Typ,1,Attchd,1997.0,RFn,3.0,3.0,Y,0,74,0,0,WD ,220000,1118.0,24
153,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,CBlock,3.0,3.0,No,GLQ,731.0,Unf,326.0,1057.0,GasA,3.0,Y,SBrkr,1057,0,1057,1.0,1,0,3,1,4.0,5,Typ,0,Detchd,1953.0,Unf,3.0,3.0,Y,0,52,0,0,WD ,109000,246.0,67
318,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,PConc,4.0,3.0,No,Unf,0.0,Unf,384.0,384.0,GasA,4.0,Y,SBrkr,744,700,1444,0.0,2,1,3,1,3.0,7,Typ,0,BuiltIn,2007.0,Fin,3.0,3.0,Y,100,0,0,0,WD ,174000,800.0,14
255,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3.0,PConc,2.0,4.0,No,Unf,0.0,Unf,676.0,676.0,GasA,3.0,Y,SBrkr,831,614,1445,0.0,2,0,3,1,3.0,6,Typ,0,Detchd,1957.0,Unf,3.0,3.0,N,0,59,0,0,WD ,138500,968.0,120
138,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,Gable,CompShg,BrkFace,Plywood,None,0.0,4.0,CBlock,3.0,3.0,No,ALQ,247.0,Rec,557.0,1517.0,GasA,5.0,Y,SBrkr,1888,0,1888,0.0,2,1,2,1,4.0,6,Mod,1,Attchd,1966.0,Fin,3.0,3.0,Y,0,0,0,0,WD ,190000,1156.0,54
2827,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3.0,PConc,4.0,3.0,4,GLQ,547.0,Unf,0.0,547.0,GasA,4.0,Y,SBrkr,1072,0,1072,1.0,2,0,2,1,3.0,5,Typ,0,Basment,2005.0,Fin,3.0,3.0,Y,0,44,0,0,New,140000,1050.0,15
145,RL,68.88300349243306,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3.0,CBlock,3.0,3.0,No,Rec,1000.0,Unf,188.0,1188.0,GasA,2.0,Y,SBrkr,1188,0,1188,1.0,1,0,3,1,3.0,6,Typ,0,Attchd,1959.0,RFn,3.0,3.0,Y,0,0,0,0,COD,142000,1062.0,61
1942,RL,68.88300349243306,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,CBlock,3.0,3.0,No,Rec,292.0,Unf,632.0,924.0,GasA,3.0,Y,SBrkr,924,0,924,0.0,1,0,2,1,3.0,6,Typ,0,Detchd,1952.0,Unf,3.0,3.0,Y,0,324,0,0,WD ,112500,420.0,68
1956,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3.0,PConc,4.0,3.0,Av,Rec,650.0,Unf,390.0,1040.0,GasA,3.0,Y,SBrkr,1040,1040,2080,0.0,1,2,5,1,2.0,9,Typ,2,Attchd,1969.0,Unf,3.0,3.0,Y,335,0,0,0,WD ,135000,1008.0,51
1044,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3.0,CBlock,3.0,3.0,No,ALQ,387.0,Unf,96.0,483.0,GasA,3.0,Y,SBrkr,483,504,987,0.0,1,1,2,1,3.0,4,Typ,0,Detchd,1971.0,Unf,3.0,3.0,Y,0,0,0,0,COD,85400,264.0,49
2752,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,PConc,4.0,3.0,Av,GLQ,393.0,Unf,815.0,1208.0,GasA,5.0,Y,SBrkr,1208,0,1208,0.0,2,0,2,1,4.0,6,Typ,0,Attchd,2005.0,RFn,3.0,3.0,Y,105,58,0,0,WD ,183600,1264.0,15
807,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,4.0,PConc,3.5841285786037167,3.0100452034153693,,,0.0,,0.0,0.0,GasA,5.0,Y,SBrkr,1288,728,2016,0.0,1,0,4,1,3.0,7,Mod,1,Attchd,1900.0,Unf,3.0,3.0,P,0,0,0,0,WD ,131000,1152.0,140
1177,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4.0,PConc,4.0,3.0,No,GLQ,813.0,Unf,147.0,960.0,GasA,5.0,Y,SBrkr,962,645,1607,1.0,2,1,3,1,4.0,7,Typ,0,Detchd,2000.0,Unf,3.0,3.0,Y,169,0,0,0,ConLD,200000,960.0,21
1480,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,PConc,4.0,3.0,Av,GLQ,24.0,Unf,1327.0,1351.0,GasA,5.0,Y,SBrkr,1361,0,1361,0.0,2,0,3,1,4.0,6,Typ,0,Attchd,2007.0,RFn,3.0,3.0,Y,0,50,0,0,WD ,193000,1220.0,13
